entityId,name,description
Q1007545,Galatasaray Lyceum,"Galatasaray High School (Turkish: Galatasaray Lisesi, French: Lycée de Galatasaray) is a high school in Turkey. Established in 1481, it is the oldest high school in Turkey and the second-oldest Turkish educational institution after Istanbul University, which was established in 1453. Being an Anatolian High School, access to the school is open to students with a high Nationwide High School Entrance score. Education consists of a blend of Turkish and French curricula and is provided in both languages.The association football club Galatasaray S.K. was formed by and named after the institution. The footballers consisted entirely of students of the school during the club's formative years. Galatasaray High School is the progenitor of Galatasaray Community, which includes the football club, its parent Galatasaray Sports Club, and Galatasaray University.The name Galatasaray means Galata Palace, as the school is located near Galata, the medieval Genoese citadel at the north of the Golden Horn, in the district of Beyoğlu which includes the Galata quarter."
Q1048835,Political division,
Q10562,Upper Bavaria,"Upper Bavaria (German: Oberbayern, Austro-Bavarian: Obabayern) is one of the seven administrative districts of Bavaria, Germany."
Q1066984,financial centres,"A financial centre is defined by the IMF as encompassing: International Financial Centres (IFCs), such as New York City, London, and Tokyo; Regional Financial Centres (RFCs), such as Frankfurt, Chicago and Sydney; and Offshore Financial Centres (OFCs), such as Cayman Islands, Dublin, and Singapore.IFCs, and many RFCs, are full–service financial centres with direct access to large capital pools from banks, insurance companies, investment funds, and listed capital markets, and are major global cities.  OFCs, and also some RFCs, tend to specialise in tax-driven services, such as corporate tax planning tools, tax–neutral vehicles, and shadow banking/securitization, and can include smaller locations (e.g. Luxembourg), or city-states (e.g. Singapore). The IMF notes an overlap between RFCs and OFCs (e.g. Hong Kong and Singapore are OFCs and RFCs). Since 2010, academics consider OFCs synonymous with tax havens."
Q1147395,ilçe,
Q11514315,historical period,
Q1162163,Director (business),"A director is a person from a group of managers who leads or supervises a particular area of a company. Companies that use this term often have many directors spread throughout different business functions or roles (e.g. director of human resources). The director usually reports directly to a vice president or to the CEO directly in order to let them know the progress of the organization. Large organizations also sometimes have assistant directors or deputy directors. Director commonly refers to the lowest level of executive in an organization, but many large companies use the title of associate director more frequently. An executive director is roughly equivalent to Vice President or Senior director in some businesses. Some companies also have regional directors and area directors. Regional directors are present in companies that are organized by location and have their departments under that. They are responsible for the operations for their particular country. Though directors are the first stage in the executive team, area directors are seen as higher up, based on their area of control."
Q1180262,Residenz,"Residenz (German: [ʁeziˈdɛnts]) is a German word for ""place of living"", now obsolete except in the formal sense of an official residence. A related term, Residenzstadt, denotes a city where a sovereign ruler resided, therefore carrying a similar meaning as the modern expressions seat of government or capital. As there were many sovereign (imperially immediate) rulers in the Holy Roman Empire, ranking from Lord (Herr) to prince elector and king, there are many cities, palaces, and castles in this territory which used to be a residenz and are partially still so referred to today. The former residenz status of a city is frequently reflected by the architecture of its center. During the baroque period especially, many prestigious buildings were erected, sometimes even new towns were founded. Today, former Residenzstädte mostly still serve as cultural and administrative centers.Examples of buildings or cities:  Munich Residenz, the former residence of the monarchs of Bavaria. Munich remains capital of the German state of Bavaria.Würzburg Residenz, the former residence of the prince-bishops of Würzburg. Würzburg today is capital of the Lower Franconia government district of Bavaria.Alte Residenz, the former residence of the Archbishops of Salzburg. Salzburg today is capital of the Salzburg state of Austria.Prussia's three Residenzstädte, where, in theory at least, the royal family could live, were Berlin, Königsberg, and Breslau.Residenzes newly founded in the baroque era:Louis William, Margrave of Baden-Baden, general field marshal of the Holy Roman Empire, nicknamed ""Turkish Louis"" for his successes against the Turks and now in possession of a great war prize, in 1699 altered plans for a hunting lodge being built near the village of Rastatt since 1697. Aiming to become prince elector, he spent 12 million guilders on Rastatt Castle. The village grew accordingly and was incorporated as a town in 1700. Louis William lived at the castle from 1702, and the court followed from Baden in 1705.Eberhard Louis, Duke of Württemberg, had similarly in 1704 begun reconstruction of a destroyed hunting lodge north of his residenz of Stuttgart. In 1705, he named the site Ludwigsburg. Plans were enlarged in 1706 and again in 1715, resulting in Ludwigsburg Palace. In 1709, Eberhard Louis moved to the new castle. Beginning in the same year, a planned community was constructed near the palace, which was incorporated as a town in 1718. Ludwigsburg officially became the Württemberg residenz in 1718. After Eberhard Louis' death in 1733, his successor took the court back to Stuttgart. Once again from 1764 to 1775, Charles Eugene, in quarrelling with the duchy's estates over yet another residenz, the Stuttgart New Palace, moved the residenz to Ludwigsburg.In 1715, Margrave Charles William of Baden-Durlach chose to build a new residenz in a space in the woods he called Karlsruhe (""Charles' rest""). From 1717 on, Karlsruhe was residenz of Baden-Durlach, later of the grand duchy of Baden, and in 1719 the administration had been completely transferred from Durlach. After 1952, when the states of Baden and Württemberg were merged into Baden-Württemberg, the Württemberg capital Stuttgart becoming capital of the new state, Karlsruhe not only remained capital of a government district of the same name, but in compensation became ""Residenz des Rechts"" (residence of law) for all Germany, seating the Federal Constitutional Court and the Federal Court of Justice.Charles III Philip, Elector Palatine since 1716, in 1720 transferred his residenz from Heidelberg to Mannheim, a fort at the confluence of the rivers Rhine and Neckar, which had been destroyed in the war and was now being reconstructed. Construction of Mannheim Palace began in 1720 in place of the former citadel."
Q1187811,College Town,"A college town or university town is a community (often a separate town or city, but in some cases a town/city neighborhood or a district) that is dominated by its university population. The university may be large, or there may be several smaller institutions such as liberal arts colleges clustered, or the residential population may be small, but college towns in all cases are so dubbed because the presence of the educational institution(s) pervades economic and social life. Many local residents may be employed by the university—which may be the largest employer in the community—many businesses cater primarily to the university, and the student population may outnumber the local population. In the United States over the past few decades, so-called ""college towns"" have cropped up near colleges and universities, but these are distinctly commercial enterprises designed and built by commercial development companies and consisting of shops and, in some cases, upscale housing. They are, in effect, small shopping plazas, often built to vaguely resemble a college ""quad."""
Q122803,Theodosiopolis (Armenia),"Erzurum (Georgian: კარნუ-ქალაქი, Karnu-kalaki; Armenian: Կարին, Karin) is a city in eastern Anatolia (Asian Turkey). It is the largest city in and eponymous capital of Erzurum Province. It is situated 1757 meters (5766 feet) above sea level. Erzurum had a population of 361,235 in the 2000 census, increasing to 367,250 by 2010.As Ancient Theodosiopolis in Armenia (or ""in Cappadocia""), the former bishopric remains a Latin Catholic titular see.The city uses the double-headed Anatolian Seljuk Eagle as its coat-of-arms, a motif that was a common symbol throughout Anatolia and the Balkans in the medieval period.Erzurum has some of the finest winter sports facilities in Turkey and hosted the 2011 Winter Universiade."
