seed_id	seed_name	r1	r1_name	mid	mid_name	r2	r2_name	end	end_name	template_hint
Q248059	Zulfu Livaneli	P106	occupation	Q82955	Politician	P31	instance of	Q28640	professions	Zulfu Livaneli --[P106]--> Politician --[P31]--> professions
Q248059	Zulfu Livaneli	P19	place of birth	Q1914881	ilgın	P17	country	Q43	turkiye	What is the country of birth place of Zulfu Livaneli?
Q248059	Zulfu Livaneli	P19	place of birth	Q1914881	ilgın	P131	located in the administrative territorial entity	Q81551	Konya Province	In which administrative area is the birth place of Zulfu Livaneli located?
Q248059	Zulfu Livaneli	P106	occupation	Q2526255	Film Directors	P279	subclass of	Q3455803	regisseur	What broader occupational class does Zulfu Livaneli's occupation belong to?
Q248059	Zulfu Livaneli	P106	occupation	Q177220	vocalist	P31	instance of	Q28640	professions	Zulfu Livaneli --[P106]--> vocalist --[P31]--> professions
Q248059	Zulfu Livaneli	P106	occupation	Q36834	timothy thompson (composer)	P279	subclass of	Q639669	music career	What broader occupational class does Zulfu Livaneli's occupation belong to?
Q248059	Zulfu Livaneli	P106	occupation	Q36834	timothy thompson (composer)	P31	instance of	Q28640	professions	Zulfu Livaneli --[P106]--> timothy thompson (composer) --[P31]--> professions
Q248059	Zulfu Livaneli	P106	occupation	Q36834	timothy thompson (composer)	P279	subclass of	Q482980	Auther	What broader occupational class does Zulfu Livaneli's occupation belong to?
Q248059	Zulfu Livaneli	P106	occupation	Q28389	screen-writer	P31	instance of	Q28640	professions	Zulfu Livaneli --[P106]--> screen-writer --[P31]--> professions
Q248059	Zulfu Livaneli	P106	occupation	Q28389	screen-writer	P279	subclass of	Q36180	Writter	What broader occupational class does Zulfu Livaneli's occupation belong to?
Q248059	Zulfu Livaneli	P106	occupation	Q49757	poetess	P31	instance of	Q28640	professions	Zulfu Livaneli --[P106]--> poetess --[P31]--> professions
