question_id	question_text	gold_answer	reasoning_path	seed_entity	difficulty	domain
MUSIC_3HOP_001	In which country is the administrative territorial entity containing the birth place of Zulfu Livaneli located?	turkiye	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province | country | turkiye	Zulfu Livaneli	3-hop	Turkish Music
MUSIC_3HOP_002	In which country is the administrative territorial entity containing the birth place of Arif Sag located?	turkiye	Arif Sag | place of birth | Theodosiopolis (Armenia) | located in the administrative territorial entity | Erzerum (Theodosiopolis) | country | turkiye	Arif Sag	3-hop	Turkish Music
MUSIC_3HOP_003	What broader family does the instrument used by Arif Sag belong to?	plucked stringed instrument	Arif Sag | instrument | baglamas | subclass of | Leuto | subclass of | plucked stringed instrument	Arif Sag	3-hop	Turkish Music
MUSIC_3HOP_004	What broader family does the instrument used by Arif Sag belong to?	string musical instrument	Arif Sag | instrument | baglamas | subclass of | plucked stringed instrument | subclass of | string musical instrument	Arif Sag	3-hop	Turkish Music
MUSIC_3HOP_005	In which country is the administrative territorial entity containing the birth place of ümit besen located?	turkiye	ümit besen | place of birth | osmaniye | located in the administrative territorial entity | Province of Osmaniye | country | turkiye	ümit besen	3-hop	Turkish Music
MUSIC_3HOP_006	What broader family does the instrument used by ümit besen belong to?	orchestral instrument	ümit besen | instrument | acoustic piano | subclass of | keyboard (instrument) | subclass of | orchestral instrument	ümit besen	3-hop	Turkish Music
MUSIC_3HOP_007	What broader musical family does the genre associated with Sehrazat belong to?	meaning (music)	Sehrazat | genre | PopStar | subclass of | Manufactured pop | subclass of | meaning (music)	Sehrazat	3-hop	Turkish Music
MUSIC_3HOP_008	In which country is the administrative territorial entity containing the birth place of Sehrazat located?	turkiye	Sehrazat | place of birth | Angora, Turkey | located in the administrative territorial entity | Ankara Province | country | turkiye	Sehrazat	3-hop	Turkish Music
MUSIC_3HOP_009	In which country is the administrative territorial entity containing the birth place of Sehrazat located?	Imperial Roman	Sehrazat | place of birth | Angora, Turkey | located in the administrative territorial entity | Galatia Salutaris | country | Imperial Roman	Sehrazat	3-hop	Turkish Music
MUSIC_3HOP_010	In which country is the administrative territorial entity containing the birth place of Sehrazat located?	Res Publica Romana	Sehrazat | place of birth | Angora, Turkey | located in the administrative territorial entity | Galatia Salutaris | country | Res Publica Romana	Sehrazat	3-hop	Turkish Music
MUSIC_3HOP_011	What broader family does the instrument used by haluk levent belong to?	string musical instrument	haluk levent | instrument | Guiatr | subclass of | plucked stringed instrument | subclass of | string musical instrument	haluk levent	3-hop	Turkish Music
MUSIC_3HOP_012	In which country is the administrative territorial entity containing the birth place of haluk levent located?	turkiye	haluk levent | place of birth | adanija | located in the administrative territorial entity | adana province, turkey | country | turkiye	haluk levent	3-hop	Turkish Music
MUSIC_3HOP_013	In which country is the administrative territorial entity containing the birth place of demet sagiroglu located?	turkiye	demet sagiroglu | place of birth | Theodosiopolis (Armenia) | located in the administrative territorial entity | Erzerum (Theodosiopolis) | country | turkiye	demet sagiroglu	3-hop	Turkish Music
MUSIC_3HOP_014	What broader musical family does the genre associated with demet sagiroglu belong to?	meaning (music)	demet sagiroglu | genre | PopStar | subclass of | Manufactured pop | subclass of | meaning (music)	demet sagiroglu	3-hop	Turkish Music
MUSIC_3HOP_015	In which country is the administrative territorial entity containing the institution where İlhan Usmanbaş studied located?	turkiye	İlhan Usmanbaş | educated at | Galatasaray Lyceum | located in the administrative territorial entity | istanbul (turkey) | country | turkiye	İlhan Usmanbaş	3-hop	Turkish Music
MUSIC_3HOP_016	What broader class does an award received by İlhan Usmanbaş belong to?	awards/sandbox	İlhan Usmanbaş | award received | state artist | instance of | Titles of Honour | subclass of | awards/sandbox	İlhan Usmanbaş	3-hop	Turkish Music
MUSIC_3HOP_017	In which country is the administrative territorial entity containing the birth place of Aynur Aydin located?	Germanz	Aynur Aydin | place of birth | monaco of bavaria | located in the administrative territorial entity | Upper Bavaria | country | Germanz	Aynur Aydin	3-hop	Turkish Music
