question_id	question_text	gold_answer	reasoning_path	seed_entity	difficulty	domain
MUSIC_2HOP_001	In which country was Zulfu Livaneli born?	turkiye	Zulfu Livaneli | place of birth | ilgın | country | turkiye	Zulfu Livaneli	2-hop	Turkish Music
MUSIC_2HOP_002	In which administrative territorial entity is the birth place of Zulfu Livaneli located?	Konya Province	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province	Zulfu Livaneli	2-hop	Turkish Music
MUSIC_2HOP_003	In which administrative territorial entity is the birth place of Arif Sag located?	Erzerum (Theodosiopolis)	Arif Sag | place of birth | Theodosiopolis (Armenia) | located in the administrative territorial entity | Erzerum (Theodosiopolis)	Arif Sag	2-hop	Turkish Music
MUSIC_2HOP_004	In which country was Arif Sag born?	turkiye	Arif Sag | place of birth | Theodosiopolis (Armenia) | country | turkiye	Arif Sag	2-hop	Turkish Music
MUSIC_2HOP_005	What broader instrument class does the instrument used by Arif Sag belong to?	Leuto	Arif Sag | instrument | baglamas | subclass of | Leuto	Arif Sag	2-hop	Turkish Music
MUSIC_2HOP_006	What type of music category is the genre associated with Arif Sag?	styles of music	Arif Sag | genre | Türkü | instance of | styles of music	Arif Sag	2-hop	Turkish Music
MUSIC_2HOP_007	In which country was ümit besen born?	turkiye	ümit besen | place of birth | osmaniye | country | turkiye	ümit besen	2-hop	Turkish Music
MUSIC_2HOP_008	In which administrative territorial entity is the birth place of ümit besen located?	Province of Osmaniye	ümit besen | place of birth | osmaniye | located in the administrative territorial entity | Province of Osmaniye	ümit besen	2-hop	Turkish Music
MUSIC_2HOP_009	What broader instrument class does the instrument used by ümit besen belong to?	keyboard (instrument)	ümit besen | instrument | acoustic piano | subclass of | keyboard (instrument)	ümit besen	2-hop	Turkish Music
MUSIC_2HOP_010	In which country was Hümeyra born?	turkiye	Hümeyra | place of birth | istanbul (turkey) | country | turkiye	Hümeyra	2-hop	Turkish Music
MUSIC_2HOP_011	In which administrative territorial entity is the birth place of Hümeyra located?	greater istanbul	Hümeyra | place of birth | istanbul (turkey) | located in the administrative territorial entity | greater istanbul	Hümeyra	2-hop	Turkish Music
MUSIC_2HOP_012	In which country was mete özgencil born?	turkiye	mete özgencil | place of birth | istanbul (turkey) | country | turkiye	mete özgencil	2-hop	Turkish Music
MUSIC_2HOP_013	In which administrative territorial entity is the birth place of mete özgencil located?	greater istanbul	mete özgencil | place of birth | istanbul (turkey) | located in the administrative territorial entity | greater istanbul	mete özgencil	2-hop	Turkish Music
MUSIC_2HOP_014	What type of music category is the genre associated with mete özgencil?	styles of music	mete özgencil | genre | History of electronic music | instance of | styles of music	mete özgencil	2-hop	Turkish Music
